[silver] env MODEL_ENABLED= false config.model.enabled= false apiKey= present
[silver] Track 1: Resume - 21 cases
  [silver] resume resume-001: fallback mode, 3 skills
  [silver] interview turn-gen-114: score=5.8, action=clarify
  [silver] interview turn-gen-115: score=2.7, action=clarify
  [silver] interview turn-gen-116: score=5.4, action=clarify
  [silver] interview turn-gen-117: score=2, action=clarify
  [silver] interview turn-gen-118: score=6.8, action=clarify
  [silver] interview turn-gen-119: score=2, action=clarify
  [silver] interview turn-gen-120: score=2, action=clarify
  [silver] interview turn-gen-121: score=2, action=clarify
  [silver] interview turn-gen-122: score=3.7, action=clarify
  [silver] interview turn-gen-123: score=2, action=clarify
  [silver] interview turn-gen-124: score=5.8, action=clarify
  [silver] interview turn-gen-125: score=2.7, action=clarify
  [silver] interview turn-gen-126: score=5.4, action=clarify
  [silver] interview turn-gen-127: score=2, action=clarify
  [silver] interview turn-gen-128: score=6.8, action=clarify
  [silver] interview turn-gen-129: score=2, action=clarify
  [silver] interview turn-gen-130: score=2, action=clarify
  [silver] interview turn-gen-131: score=2, action=clarify
  [silver] interview turn-gen-132: score=3.7, action=clarify
  [silver] interview turn-gen-133: score=2, action=clarify
  [silver] interview turn-gen-134: score=5.8, action=clarify
  [silver] interview turn-gen-135: score=2.7, action=clarify
  [silver] interview turn-gen-136: score=5.4, action=clarify
  [silver] interview turn-gen-137: score=2, action=clarify
  [silver] interview turn-gen-138: score=6.8, action=clarify
  [silver] interview turn-gen-139: score=2, action=clarify
  [silver] interview turn-gen-140: score=1, action=clarify
  [silver] interview turn-gen-141: score=2, action=clarify
  [silver] interview turn-gen-142: score=1, action=clarify
  [silver] interview turn-gen-143: score=1, action=clarify
  [silver] interview turn-gen-144: score=2, action=clarify
  [silver] interview turn-gen-145: score=2, action=clarify
  [silver] interview turn-gen-146: score=3.7, action=clarify
  [silver] interview turn-gen-147: score=2, action=clarify
  [silver] interview turn-gen-148: score=5.8, action=clarify
  [silver] interview turn-gen-149: score=2.7, action=clarify
  [silver] interview turn-gen-150: score=5.4, action=clarify
  [silver] interview turn-gen-151: score=2, action=clarify
  [silver] interview turn-gen-152: score=6.8, action=clarify
  [silver] interview turn-gen-153: score=2, action=clarify
  [silver] interview turn-gen-154: score=2, action=clarify
  [silver] interview turn-gen-155: score=2, action=clarify
  [silver] interview turn-gen-156: score=3.7, action=clarify
  [silver] interview turn-gen-157: score=2, action=clarify
  [silver] interview turn-gen-158: score=5.8, action=clarify
  [silver] interview turn-gen-159: score=2.7, action=clarify
  [silver] interview turn-gen-160: score=5.4, action=clarify
  [silver] interview turn-gen-161: score=2, action=clarify
  [silver] interview turn-gen-162: score=6.8, action=clarify
  [silver] interview turn-gen-163: score=2, action=clarify
  [silver] interview turn-gen-164: score=2, action=clarify
  [silver] interview turn-gen-165: score=2, action=clarify
  [silver] interview turn-gen-166: score=3.7, action=clarify
  [silver] interview turn-gen-167: score=2, action=clarify
  [silver] interview turn-gen-168: score=5.8, action=clarify
  [silver] interview turn-gen-169: score=2.7, action=clarify
  [silver] interview turn-gen-170: score=5.4, action=clarify
  [silver] interview turn-gen-171: score=2, action=clarify
  [silver] interview turn-gen-172: score=6.8, action=clarify
  [silver] interview turn-gen-173: score=2, action=clarify
  [silver] interview turn-gen-174: score=2, action=clarify
  [silver] interview turn-gen-175: score=2, action=clarify
  [silver] interview turn-gen-176: score=3.7, action=clarify
  [silver] interview turn-gen-177: score=2, action=clarify
  [silver] interview turn-gen-178: score=5.8, action=clarify
  [silver] interview turn-gen-179: score=2.7, action=clarify
  [silver] interview turn-gen-180: score=5.4, action=clarify
  [silver] interview turn-gen-181: score=2, action=clarify
  [silver] interview turn-gen-182: score=6.8, action=clarify
  [silver] interview turn-gen-183: score=2, action=clarify
  [silver] interview turn-gen-184: score=2, action=clarify
  [silver] interview turn-gen-185: score=2, action=clarify
  [silver] interview turn-gen-186: score=3.7, action=clarify
  [silver] interview turn-gen-187: score=2, action=clarify
  [silver] interview turn-gen-188: score=5.8, action=clarify
  [silver] interview turn-gen-189: score=2.7, action=clarify
  [silver] interview turn-gen-190: score=5.4, action=clarify
  [silver] interview turn-gen-191: score=2, action=clarify
  [silver] interview turn-gen-192: score=6.8, action=clarify
  [silver] interview turn-gen-193: score=2, action=clarify
  [silver] interview turn-gen-194: score=2, action=clarify
  [silver] interview turn-gen-195: score=2, action=clarify
  [silver] interview turn-gen-196: score=3.7, action=clarify
  [silver] interview turn-gen-197: score=2, action=clarify
  [silver] interview turn-gen-198: score=5.8, action=clarify
  [silver] interview turn-gen-199: score=2.7, action=clarify
  [silver] interview turn-gen-200: score=5.4, action=clarify
  [silver] interview turn-gen-201: score=2, action=clarify
  [silver] interview turn-gen-202: score=6.8, action=clarify
  [silver] interview turn-gen-203: score=2, action=clarify
  [silver] interview turn-gen-204: score=1, action=clarify
  [silver] interview turn-gen-205: score=2, action=clarify
  [silver] interview turn-gen-206: score=1, action=clarify
  [silver] interview turn-gen-207: score=1, action=clarify
[silver] Track 3: Ranking - 9 cases
  [silver] ranking job job-backend-001: fallback mode
  [silver] ranking job-backend-001: fallback mode, 5 candidates
  [silver] ranking job job-ai-001: fallback mode
  [silver] ranking job-ai-001: fallback mode, 5 candidates
  [silver] ranking job job-frontend-001: fallback mode
  [silver] ranking job-frontend-001: fallback mode, 5 candidates
  [silver] ranking job job-gen-208: fallback mode
  [silver] ranking job-gen-208: fallback mode, 4 candidates
  [silver] ranking job job-gen-213: fallback mode
  [silver] ranking job-gen-213: fallback mode, 5 candidates
  [silver] ranking job job-gen-219: fallback mode
  [silver] ranking job-gen-219: fallback mode, 4 candidates
  [silver] ranking job job-gen-224: fallback mode
  [silver] ranking job-gen-224: fallback mode, 5 candidates
  [silver] ranking job job-gen-230: fallback mode
  [silver] ranking job-gen-230: fallback mode, 4 candidates
  [silver] ranking job job-gen-235: fallback mode
  [silver] ranking job-gen-235: fallback mode, 5 candidates
DONE
